entity_type,layer,text,insert_x,insert_y,start_x,start_y,start_z,end_x,end_y,end_z,center_x,center_y,radius,vertices,vertex_count,closed,start_angle,end_angle
LWPOLYLINE,CAJONEO,,,,,,,,,,,,,"[[-88.5664, 9.0693], [-88.2664, 9.0693], [-88.2664, 9.3693], [-88.5664, 9.3693]]",4.0,True,,
LINE,CAJONEO,,,,-87.9664,9.2193,0.0,-88.2664,9.2193,0.0,,,,,,,,
LINE,CAJONEO,,,,-88.1164,9.6693,0.0,-88.4164,9.6693,0.0,,,,,,,,
LINE,CAJONEO,,,,-88.1164,9.5193,0.0,-88.4164,9.5193,0.0,,,,,,,,
LINE,CAJONEO,,,,-88.1664,9.5693,0.0,-88.3664,9.5693,0.0,,,,,,,,
LINE,CAJONEO,,,,-88.1664,9.6193,0.0,-88.3664,9.6193,0.0,,,,,,,,
LWPOLYLINE,CAJONEO,,,,,,,,,,,,,"[[-85.4164, 9.0693], [-85.1164, 9.0693], [-85.1164, 9.3693], [-85.4164, 9.3693]]",4.0,True,,
ARC,ELEMENTOS-ELEC,,,,,,,,,,-85.6129,10.9216,1.495,,,,149.8578,210.1422
LINE,ELEMENTOS-ELEC,,,,-86.9512,11.7693,0.0,-88.1313,11.7693,0.0,,,,,,,,
LINE,CABLES,,,,-88.0508,12.1362,0.0,-88.2271,12.0562,0.0,,,,,,,,
LINE,CABLES,,,,-88.0508,12.0806,0.0,-88.2271,12.0005,0.0,,,,,,,,
TEXT,NOTAS,PREPARACION,-86.7423,10.8033,,,,,,,,,,,,,,
ARC,ELEMENTOS-ELEC,,,,,,,,,,-85.7468,13.3733,1.9155,,,,238.8024,281.1614
LINE,CABLES,,,,-86.0113,11.8314,0.0,-86.0721,11.6891,0.0,,,,,,,,
LINE,CABLES,,,,-85.9541,11.8314,0.0,-86.0149,11.6891,0.0,,,,,,,,
LINE,CABLES,,,,-86.7608,11.0531,0.0,-86.9372,10.9731,0.0,,,,,,,,
LINE,CABLES,,,,-86.7608,10.9975,0.0,-86.9372,10.9174,0.0,,,,,,,,
LINE,CABLES,,,,-84.8649,12.0458,0.0,-85.0413,11.9658,0.0,,,,,,,,
LINE,CABLES,,,,-84.8649,11.9901,0.0,-85.0413,11.9101,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-84.9455,12.0945,0.0,-84.9455,11.8506,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.8414,12.0945,0.0,-84.9455,12.0945,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.8414,11.8792,0.0,-86.8414,12.0945,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.8414,10.1792,0.0,-86.8414,11.6594,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-85.3267,11.7693,0.0,-85.3267,11.5527,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.7315,11.7693,0.0,-85.3267,11.7693,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.9191,11.847,0.0,-86.9544,11.8824,0.0,,,,,,,,
LINE,ELEMENTOS-ELEC,,,,-86.7637,11.847,0.0,-86.7283,11.8824,0.0,,,,,,,,
TEXT,TEXTO,1,-86.8766,11.7383,,,,,,,,,,,,,,
